w_value,epoch,avg_loss,avg_loss_with_reg,avg_acc,avg_srpq,avg_reg,avg_w
0.064,13,0.020523,0.204715,0.964508,0.831777,0.184191,0.064000
0.064,14,0.020074,0.203038,0.964855,0.832798,0.182964,0.064000
0.064,15,0.019647,0.201388,0.965028,0.833817,0.181741,0.064000
0.064,16,0.019233,0.199757,0.965287,0.834833,0.180523,0.064000
0.064,17,0.018834,0.198143,0.966066,0.835847,0.179309,0.064000
0.064,18,0.018451,0.196550,0.966499,0.836859,0.178100,0.064000
0.064,19,0.018092,0.194987,0.966586,0.837867,0.176896,0.064000
0.064,20,0.017749,0.193449,0.966586,0.838870,0.175700,0.064000
0.064,21,0.017419,0.191932,0.966846,0.839866,0.174513,0.064000
0.064,22,0.017088,0.190422,0.967625,0.840857,0.173334,0.064000
0.064,23,0.016779,0.188944,0.968317,0.841840,0.172165,0.064000
0.064,24,0.016473,0.187479,0.968663,0.842816,0.171006,0.064000
0.064,25,0.016185,0.186038,0.969010,0.843788,0.169854,0.064000
0.064,26,0.015905,0.184612,0.969269,0.844756,0.168707,0.064000
0.064,27,0.015635,0.183204,0.969443,0.845718,0.167569,0.064000
0.064,28,0.015378,0.181815,0.969875,0.846676,0.166437,0.064000
0.064,29,0.015132,0.180446,0.969962,0.847627,0.165315,0.064000
0.064,30,0.014889,0.179090,0.970395,0.848572,0.164201,0.064000
0.128,1,0.027818,0.179118,0.959314,0.859590,0.151300,0.128000
0.128,2,0.026863,0.177334,0.961132,0.860303,0.150471,0.128000
0.128,3,0.026071,0.175752,0.960959,0.860983,0.149681,0.128000
0.128,4,0.025447,0.174306,0.960353,0.861690,0.148859,0.128000
0.128,5,0.024789,0.172800,0.960007,0.862422,0.148011,0.128000
0.128,6,0.024190,0.171333,0.959141,0.863170,0.147144,0.128000
0.128,7,0.023642,0.169911,0.960007,0.863925,0.146269,0.128000
0.128,8,0.023075,0.168476,0.959834,0.864675,0.145401,0.128000
0.128,9,0.022506,0.167045,0.960526,0.865421,0.144539,0.128000
0.128,10,0.021980,0.165656,0.960786,0.866169,0.143676,0.128000
0.128,11,0.021497,0.164303,0.961998,0.866922,0.142806,0.128000
0.128,12,0.021032,0.162962,0.962517,0.867682,0.141931,0.128000
0.128,13,0.020579,0.161630,0.962604,0.868445,0.141051,0.128000
